draft_id,draft_slot,is_keeper,metadata,pick_no,picked_by,player_id,reactions,roster_id,round
1124840609828335617,7,,"{'first_name': 'C.J.', 'injury_status': '', 'last_name': 'Stroud', 'news_updated': '1724517620539', 'number': '7', 'player_id': '9758', 'position': 'QB', 'sport': 'nfl', 'status': 'Active', 'team': 'HOU', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '1'}",39,974106566116847616,9758,,4,5
1124840609828335617,8,,"{'first_name': 'Joe', 'injury_status': '', 'last_name': 'Mixon', 'news_updated': '1724518220752', 'number': '28', 'player_id': '4018', 'position': 'RB', 'sport': 'nfl', 'status': 'Active', 'team': 'HOU', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '7'}",40,990112455994994688,4018,,1,5
1124840609828335617,8,,"{'first_name': 'Patrick', 'injury_status': '', 'last_name': 'Mahomes', 'news_updated': '1724086846847', 'number': '15', 'player_id': '4046', 'position': 'QB', 'sport': 'nfl', 'status': 'Active', 'team': 'KC', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '7'}",41,990112455994994688,4046,,1,6
1124840609828335617,7,,"{'first_name': 'Brandon', 'injury_status': '', 'last_name': 'Aiyuk', 'news_updated': '1724519419570', 'number': '11', 'player_id': '6803', 'position': 'WR', 'sport': 'nfl', 'status': 'Active', 'team': 'SF', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '4'}",42,974106566116847616,6803,,4,6
1124840609828335617,6,,"{'first_name': 'Trey', 'injury_status': '', 'last_name': 'McBride', 'news_updated': '1724343643117', 'number': '85', 'player_id': '8130', 'position': 'TE', 'sport': 'nfl', 'status': 'Active', 'team': 'ARI', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '2'}",43,999433102126546944,8130,,6,6
1124840609828335617,5,,"{'first_name': 'Lamar', 'injury_status': '', 'last_name': 'Jackson', 'news_updated': '1724348751875', 'number': '8', 'player_id': '4881', 'position': 'QB', 'sport': 'nfl', 'status': 'Active', 'team': 'BAL', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '6'}",44,,4881,,5,6
1124840609828335617,4,,"{'first_name': 'DeVonta', 'injury_status': '', 'last_name': 'Smith', 'news_updated': '1724364055513', 'number': '6', 'player_id': '7525', 'position': 'WR', 'sport': 'nfl', 'status': 'Active', 'team': 'PHI', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '3'}",45,562432915037523968,7525,,2,6
1124840609828335617,3,,"{'first_name': 'DK', 'injury_status': '', 'last_name': 'Metcalf', 'news_updated': '1724592629868', 'number': '14', 'player_id': '5846', 'position': 'WR', 'sport': 'nfl', 'status': 'Active', 'team': 'SEA', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '5'}",46,808950455362256896,5846,,7,6
1124840609828335617,2,,"{'first_name': 'Mark', 'injury_status': 'Questionable', 'last_name': 'Andrews', 'news_updated': '1724100047167', 'number': '89', 'player_id': '5012', 'position': 'TE', 'sport': 'nfl', 'status': 'Active', 'team': 'BAL', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '6'}",47,1128031061746831360,5012,,8,6
1124840609828335617,1,,"{'first_name': 'Stefon', 'injury_status': '', 'last_name': 'Diggs', 'news_updated': '1723968929270', 'number': '1', 'player_id': '2449', 'position': 'WR', 'sport': 'nfl', 'status': 'Active', 'team': 'HOU', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '9'}",48,999440800352219136,2449,,3,6
1124840609828335617,1,,"{'first_name': 'Kenneth', 'injury_status': '', 'last_name': 'Walker', 'news_updated': '1724362855631', 'number': '9', 'player_id': '8151', 'position': 'RB', 'sport': 'nfl', 'status': 'Active', 'team': 'SEA', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '2'}",49,999440800352219136,8151,,3,7
1124840609828335617,2,,"{'first_name': 'Justin', 'injury_status': '', 'last_name': 'Tucker', 'news_updated': '1705440330585', 'number': '9', 'player_id': '1264', 'position': 'K', 'sport': 'nfl', 'status': 'Active', 'team': 'BAL', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '12'}",50,1128031061746831360,1264,,8,7
1124840609828335617,3,,"{'first_name': 'Zay', 'injury_status': '', 'last_name': 'Flowers', 'news_updated': '1724343343714', 'number': '4', 'player_id': '9997', 'position': 'WR', 'sport': 'nfl', 'status': 'Active', 'team': 'BAL', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '1'}",51,808950455362256896,9997,,7,7
1124840609828335617,4,,"{'first_name': 'Kyle', 'injury_status': '', 'last_name': 'Pitts', 'news_updated': '1724344843292', 'number': '8', 'player_id': '7553', 'position': 'TE', 'sport': 'nfl', 'status': 'Active', 'team': 'ATL', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '3'}",52,562432915037523968,7553,,2,7
1124840609828335617,5,,"{'first_name': 'Evan', 'injury_status': '', 'last_name': 'Engram', 'news_updated': '1724511020580', 'number': '17', 'player_id': '4066', 'position': 'TE', 'sport': 'nfl', 'status': 'Active', 'team': 'JAX', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '7'}",53,,4066,,5,7
1124840609828335617,6,,"{'first_name': 'Jordan', 'injury_status': '', 'last_name': 'Love', 'news_updated': '1724518820947', 'number': '10', 'player_id': '6804', 'position': 'QB', 'sport': 'nfl', 'status': 'Active', 'team': 'GB', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '4'}",54,999433102126546944,6804,,6,7
1124840609828335617,7,,"{'first_name': 'Alvin', 'injury_status': '', 'last_name': 'Kamara', 'news_updated': '1724607632875', 'number': '41', 'player_id': '4035', 'position': 'RB', 'sport': 'nfl', 'status': 'Active', 'team': 'NO', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '7'}",55,974106566116847616,4035,,4,7
1124840609828335617,8,,"{'first_name': 'Christian', 'injury_status': 'Questionable', 'last_name': 'Kirk', 'news_updated': '1724093146247', 'number': '13', 'player_id': '4950', 'position': 'WR', 'sport': 'nfl', 'status': 'Active', 'team': 'JAX', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '6'}",56,990112455994994688,4950,,1,7
1124840609828335617,8,,"{'first_name': 'Terry', 'injury_status': '', 'last_name': 'McLaurin', 'news_updated': '1724287534624', 'number': '17', 'player_id': '5927', 'position': 'WR', 'sport': 'nfl', 'status': 'Active', 'team': 'WAS', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '5'}",57,990112455994994688,5927,,1,8
1124840609828335617,7,,"{'first_name': 'Aaron', 'injury_status': '', 'last_name': 'Jones', 'news_updated': '1723914920214', 'number': '33', 'player_id': '4199', 'position': 'RB', 'sport': 'nfl', 'status': 'Active', 'team': 'MIN', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '7'}",58,974106566116847616,4199,,4,8
