player_id,full_name,team,position,adp
NO,New Orleans Saints,NO,DEF,290.0
9230,Tanner McKee,PHI,QB,290.0
2020,Cairo Santos,CHI,K,291.0
8117,Jalen Tolbert,DAL,WR,299.0
5086,Marquez Valdes-Scantling,SEA,WR,295.0
11834,Devaughn Vele,DEN,WR,295.0
11596,Ben Sinnott,WAS,TE,296.0
11623,Jordan Whittington,LAR,WR,297.0
7562,Tutu Atwell,LAR,WR,310.0
4381,Taysom Hill,NO,TE,299.0
11640,Jermaine Burton,CIN,WR,299.0
8167,Christian Watson,GB,WR,300.0
2197,Brandin Cooks,NO,WR,314.5
7567,Kenneth Gainwell,PIT,RB,305.0
12670,KeAndre Lambert-Smith,LAC,WR,306.0
4147,Samaje Perine,CIN,RB,308.0
5857,Noah Fant,CIN,TE,313.0
11435,Emanuel Wilson,GB,RB,315.0
8129,Dameon Pierce,HOU,RB,318.0
11647,Kimani Vidal,LAC,RB,321.0
7596,Elijah Moore,BUF,WR,323.0
4234,Noah Brown,WAS,WR,324.0
12738,Phil Mafah,DAL,RB,325.0
ATL,Atlanta Falcons,ATL,DEF,328.0
11571,Isaiah Davis,NYJ,RB,329.0
12641,Jaylin Lane,WAS,WR,330.0
